n_vaos,largura_externa_mm,trizetas,cruzetas,linhas_montante,montantes,barras_largura_PSC,barras_profundidade_BLA,reguas_PST,porta_hastes,tampas,pes,peso_kg,custo_estimado_brl,preco_2x_brl
1,680,20,0,2,4,10,10,25,50,4,4,8.48,146.79,293.59
2,1361,20,10,3,6,20,15,50,100,6,6,15.51,269.47,538.94
3,2041,20,20,4,8,30,20,75,150,8,8,22.55,392.14,784.29
4,2721,20,30,5,10,40,25,100,200,10,10,29.58,514.82,1029.64
5,3402,20,40,6,12,50,30,125,250,12,12,36.62,637.49,1274.99
6,4082,20,50,7,14,60,35,150,300,14,14,43.65,760.17,1520.34
