referencia,nome,ambiente,categoria_catalogo,modulo,prateleira,altura_face_mm,zona,frente_mm,baia_mm,faturamento_12m,clientes
553.012.086,Porta Sabonete Líquido Flat,COZINHA,COZINHA,Paredao sul,6,1409,olhos,79,270,28412.71,246
165.006.086,Escorredor de Pratos,COZINHA,COZINHA,Paredao sul,6,1409,olhos,355,270,26298.37,126
2570.012.003,Pote Alto Retangular,COZINHA,POTES,Paredao sul,6,1409,olhos,210,270,25730.86,109
2540.012.003,Kit Potes Altos com 3 pçs,COZINHA,POTES,Paredao sul,6,1409,olhos,210,270,20552.88,20
239.012.003,Pote Acoplado Preto C/Rosca 3L,COZINHA,POTES,Paredao sul,6,1409,olhos,155,270,20142.12,106
236.012.003,Pote Acoplado Preto C/Rosca 1L,COZINHA,POTES,Paredao sul,6,1409,olhos,118,270,17715.38,127
232.006.861,Kit Pote Raso Coloratto Com 2 Pecas - 500Ml,COZINHA,POTES,Paredao sul,6,1409,olhos,110,270,16980.72,141
050.012.003,Pote Premier com 4 Divisórias,COZINHA,POTES,Paredao sul,6,1409,olhos,225,270,16743.48,87
236.012.667,Pote Sal Grosso Acoplado Com Rosca - 1L (236/Sg),COZINHA,POTES,Paredao sul,6,1409,olhos,118,270,15039.17,156
232.006.862,Kit Pote Raso Coloratto Com 3 Pecas - 500Ml,COZINHA,POTES,Paredao sul,6,1409,olhos,110,270,12784.62,105
232.012.003,Pote Raso com Travas,COZINHA,POTES,Paredao sul,6,1409,olhos,110,270,10214.13,118
3780.012.003,Pote Quadrado com Travas,COZINHA,POTES,Paredao sul,6,1409,olhos,145,270,9537.04,98
154.012.003,Pote Alto com Travas,COZINHA,POTES,Paredao sul,6,1409,olhos,100,270,8989.92,121
236.012.668,Pote Café Acoplado Com Rosca - 1L,COZINHA,POTES,Paredao sul,6,1409,olhos,118,270,7830.72,101
236.012.672,Pote Açucar Acoplado Com Rosca - 1L,COZINHA,POTES,Paredao sul,6,1409,olhos,118,270,3933.0,51
3760.012.003,Pote Quadrado com Travas,COZINHA,POTES,Paredao sul,6,1409,olhos,240,270,3724.32,23
236.012.671,Pote Feijão Acoplado Com Rosca - 1L,COZINHA,POTES,Paredao sul,6,1409,olhos,118,270,1981.44,25
236.012.669,Pote Arroz Acoplado Com Rosca - 1L,COZINHA,POTES,Paredao sul,6,1409,olhos,118,270,1779.96,24
236.012.670,Pote Farinha Acoplado Com Rosca - 1L,COZINHA,POTES,Paredao sul,6,1409,olhos,118,270,800.52,11
408.012.002,Kit Churros Fácil,COZINHA,DECOR,Paredao sul,7,1671,olhos,165,270,606220.53,839
255.036.016,Firenze com Tampa,COZINHA,JARRAS,Paredao sul,7,1671,olhos,119,270,594517.32,826
133.012.003,Porta Detergente Rattan com Base,COZINHA,COZINHA,Paredao sul,7,1671,olhos,105,270,522953.07,1380
027.012.001,Porta Pão Armazena e Conserva,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,519707.0,1089
179.024.001,Porta Frios com Pinça,COZINHA,COZINHA,Paredao sul,7,1671,olhos,175,270,498382.64,775
046.012.003,Porta Óleo Itália,COZINHA,COZINHA,Paredao sul,7,1671,olhos,88,270,438457.13,1746
144.006.003,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,Paredao sul,7,1671,olhos,290,270,434598.16,1138
144.006.002,Porta Talher com 6 Divisórias e Tampa,COZINHA,COZINHA,Paredao sul,7,1671,olhos,290,270,407369.62,1048
059.012.003,Escorredor de Pratos,COZINHA,COZINHA,Paredao sul,7,1671,olhos,118,270,384282.31,911
135.024.001,Tampa para Micro-ondas,COZINHA,MICRO-ONDAS,Paredao sul,7,1671,olhos,255,270,355308.6,1044
233.012.001,Pote Raso com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,334805.31,1114
149.024.001,Micro-ondas,COZINHA,MICRO-ONDAS,Paredao sul,7,1671,olhos,220,270,322251.72,670
920.004.003,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,Paredao sul,7,1671,olhos,86,270,320244.62,818
153.012.546,Jarra com Tampa Flip Top,COZINHA,JARRAS,Paredao sul,7,1671,olhos,100,270,319913.49,868
060.012.003,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,COZINHA,Paredao sul,7,1671,olhos,210,270,318592.55,1054
139.012.001,Pote com 3 Divisórias,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,312662.12,957
2580.012.001,Pote Alto Retangular,COZINHA,POTES,Paredao sul,7,1671,olhos,185,270,309665.81,868
032.012.547,Jarra com Tampa,COZINHA,JARRAS,Paredao sul,7,1671,olhos,145,270,304681.58,849
152.006.003,Kit Mantimentos  5 Peças,COZINHA,POTES,Paredao sul,7,1671,olhos,230,270,299992.8,302
215.012.003,Pote Ultraforte com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,165,270,289403.85,807
224.012.003,Porta Talher Escorre e Guarda,COZINHA,COZINHA,Paredao sul,7,1671,olhos,95,270,288745.52,848
244.012.001,"Pote Raso Com Valvula - 3,2L (244)",COZINHA,POTES,Paredao sul,7,1671,olhos,210,270,284556.52,508
156.012.001,Pote Alto com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,275049.01,942
4030.012.003,Porta Farofa com Tampa,COZINHA,COZINHA,Paredao sul,7,1671,olhos,79,270,269314.02,1509
3770.012.001,Pote Quadrado com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,185,270,264644.58,723
166.024.001,Porta Biscoitos e Torradas,COZINHA,POTES,Paredao sul,7,1671,olhos,91,270,255181.65,746
146.024.001,Forma de Ovos e Omeleteira Micro-ondas,COZINHA,MICRO-ONDAS,Paredao sul,7,1671,olhos,150,270,253547.82,644
103.024.003,Com Bandeja,COZINHA,POTES,Paredao sul,7,1671,olhos,125,270,250322.05,499
030.012.001,Pote Monterey com 3 Divisórias,COZINHA,POTES,Paredao sul,7,1671,olhos,212,270,250297.93,459
060.012.002,Porta Talher Paris com 4 Divisórias e Tampa,COZINHA,COZINHA,Paredao sul,7,1671,olhos,210,270,250288.25,1026
105.024.003,Marmita Bom Apetite Com Bandeija E Valvula - Preto 800Ml,COZINHA,POTES,Paredao sul,7,1671,olhos,127,270,248640.09,414
362.012.003,Pote Acucar Acoplado Com Rosca - 2L,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,248403.06,1001
055.012.003,Escorredor Multiuso,COZINHA,COZINHA,Paredao sul,7,1671,olhos,215,270,248395.68,579
363.012.003,Pote Cafe Acoplado Com Rosca - 2L,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,247062.72,710
034.012.001,Pote Mônaco com 3 Divisórias,COZINHA,POTES,Paredao sul,7,1671,olhos,190,270,244281.34,712
234.012.001,Pote Raso com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,180,270,236917.52,688
051.012.003,Porta Detergente 3 Em 1 - Preto (051/P),COZINHA,COZINHA,Paredao sul,7,1671,olhos,120,270,230461.39,1296
155.012.001,Pote Alto com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,110,270,227906.2,945
151.012.001,Pote Alto com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,180,270,213603.16,544
221.012.003,Saleiro Premier com Alça,COZINHA,COZINHA,Paredao sul,7,1671,olhos,110,270,200087.68,632
096.012.003,Escorredor de Pratos Rattan,COZINHA,COZINHA,Paredao sul,7,1671,olhos,222,270,191514.17,337
153.012.002,Jarra com Tampa Flip Top,COZINHA,JARRAS,Paredao sul,7,1671,olhos,100,270,191484.03,715
111.012.549,Espremedor Portátil Fit,COZINHA,JARRAS,Paredao sul,7,1671,olhos,95,270,186127.74,615
238.012.001,Pote Acoplado Com Rosca - Transparente 2L,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,181397.0,538
133.012.002,Porta Detergente Rattan com Base,COZINHA,COZINHA,Paredao sul,7,1671,olhos,105,270,174333.14,835
046.012.002,Porta Óleo Itália,COZINHA,COZINHA,Paredao sul,7,1671,olhos,88,270,173136.58,1038
116.012.003,Porta Detergente Com Telinha - Preto (116/P),COZINHA,COZINHA,Paredao sul,7,1671,olhos,105,270,162300.53,897
070.006.003,Escorredor Luxo,COZINHA,COZINHA,Paredao sul,7,1671,olhos,278,270,144426.93,847
545.012.003,Porta Detergente e Esponja Flat,COZINHA,COZINHA,Paredao sul,7,1671,olhos,87,270,143479.86,684
032.012.002,Jarra com Tampa,COZINHA,JARRAS,Paredao sul,7,1671,olhos,145,270,140806.36,681
169.012.003,Boleira Barcelona com Alça,COZINHA,COZINHA,Paredao sul,7,1671,olhos,305,270,140617.5,525
070.006.002,Escorredor Luxo,COZINHA,COZINHA,Paredao sul,7,1671,olhos,278,270,126866.3,683
224.012.002,Porta Talher Escorre e Guarda,COZINHA,COZINHA,Paredao sul,7,1671,olhos,95,270,123104.88,565
920.004.002,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,Paredao sul,7,1671,olhos,86,270,115282.55,509
169.012.002,Boleira Barcelona com Alça,COZINHA,COZINHA,Paredao sul,7,1671,olhos,305,270,109802.85,389
920.004.086,Kit Detergente Flat com 2 Peças,COZINHA,COZINHA,Paredao sul,7,1671,olhos,86,270,109006.56,422
059.012.002,Escorredor de Pratos,COZINHA,COZINHA,Paredao sul,7,1671,olhos,305,270,100467.81,424
133.012.086,Porta Detergente Rattan com Base,COZINHA,COZINHA,Paredao sul,7,1671,olhos,105,270,89583.68,493
051.012.002,Porta Detergente 3 Em 1 - Branco (051/B),COZINHA,COZINHA,Paredao sul,7,1671,olhos,102,270,86647.64,650
116.012.002,Porta Detergente Com Telinha - Branco (116/B),COZINHA,COZINHA,Paredao sul,7,1671,olhos,105,270,83941.86,636
221.012.002,Saleiro Premier com Alça,COZINHA,COZINHA,Paredao sul,7,1671,olhos,110,270,73673.44,346
224.012.086,Porta Talher Escorre e Guarda,COZINHA,COZINHA,Paredao sul,7,1671,olhos,95,270,67987.2,256
055.012.002,Escorredor Multiuso,COZINHA,COZINHA,Paredao sul,7,1671,olhos,215,270,64323.58,282
096.012.002,Escorredor de Pratos Rattan,COZINHA,COZINHA,Paredao sul,7,1671,olhos,222,270,63400.83,213
545.012.002,Porta Detergente e Esponja Flat,COZINHA,COZINHA,Paredao sul,7,1671,olhos,87,270,61751.11,447
111.012.002,Espremedor Portátil Fit,COZINHA,JARRAS,Paredao sul,7,1671,olhos,95,270,59739.31,337
051.012.086,Porta Detergente 3 Em 1 - Chumbo,COZINHA,COZINHA,Paredao sul,7,1671,olhos,120,270,41706.07,303
238.012.002,Pote Acoplado Branco C/Rosca 2L,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,37681.16,270
059.012.086,Escorredor de Pratos,COZINHA,COZINHA,Paredao sul,7,1671,olhos,118,270,35854.49,190
151.012.003,Pote Alto com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,180,270,31858.92,78
545.012.086,Porta Detergente e Esponja Flat,COZINHA,COZINHA,Paredao sul,7,1671,olhos,87,270,30993.78,300
152.006.002,Kit Mantimentos  5 Peças,COZINHA,POTES,Paredao sul,7,1671,olhos,230,270,27493.02,105
030.012.003,Pote Monterey com 3 Divisórias,COZINHA,POTES,Paredao sul,7,1671,olhos,212,270,25746.36,95
116.012.086,Porta Detergente Com Telinha - Chumbo,COZINHA,COZINHA,Paredao sul,7,1671,olhos,105,270,21816.46,245
139.012.003,Pote com 3 Divisórias,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,20809.89,107
234.012.003,Pote Raso com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,180,270,18507.72,86
156.012.003,Pote Alto com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,15974.52,90
238.012.003,Pote Acoplado Preto C/Rosca 2L,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,15931.33,91
2580.012.003,Pote Alto Retangular,COZINHA,POTES,Paredao sul,7,1671,olhos,185,270,15118.11,75
096.012.086,Escorredor de Pratos Rattan,COZINHA,COZINHA,Paredao sul,7,1671,olhos,218,270,14771.65,77
155.006.861,Kit Pote Alto Coloratto Com 2 Pecas - 850 Ml,COZINHA,POTES,Paredao sul,7,1671,olhos,110,270,13920.07,108
155.012.003,Pote Alto com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,110,270,12062.91,104
233.012.003,Pote Raso com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,140,270,12046.8,103
3770.012.003,Pote Quadrado com Travas,COZINHA,POTES,Paredao sul,7,1671,olhos,185,270,10284.36,50
034.012.003,Pote Mônaco com 3 Divisórias,COZINHA,POTES,Paredao sul,7,1671,olhos,190,270,5421.13,31
137.012.002,"Frasqueira Medicamentos 2,8L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,163,270,1673686.75,1162
142.006.002,"Medicamentos 6,2L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,198,270,1439168.58,989
043.012.002,"Frasqueira Medicamentos 1,4L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,157,270,663232.39,1065
186.006.002,Mega Luxo,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,250,270,442151.62,378
227.036.999,Copo Infantil com Alça - Sortido,FRASQUEIRAS E INFANTIL,INFANTIL,Parede de entrada,5,1633,olhos,80,270,320155.28,615
195.006.012,Frasqueira Cristal com Divisórias,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,115,270,231879.79,589
142.006.009,"Medicamentos 6,2L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,198,270,159567.71,251
126.006.619,Frasqueira com Bandeja,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,198,270,158172.45,473
147.012.604,Frasqueira Mini,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,125,270,139229.27,593
186.006.009,Mega Luxo,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,250,270,133662.57,128
043.012.009,"Frasqueira Medicamentos 1,4L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,157,270,132536.91,386
219.006.563,Frasqueira Rattan,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,230,270,120272.65,269
202.006.002,"Oval com Bandeja 4,4L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,177,270,119058.58,299
120.006.012,Frasqueira com Bandeja,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,163,270,110560.9,432
137.012.009,"Frasqueira Medicamentos 2,8L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,163,270,91348.28,279
202.006.012,Frasqueira Oval com Bandeja,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,177,270,90746.75,308
132.036.683,Prato Unitário,FRASQUEIRAS E INFANTIL,INFANTIL,Parede de entrada,5,1633,olhos,217,270,59114.16,234
195.006.609,Frasqueira Cristal com Divisórias,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,115,270,58929.02,347
147.012.607,Frasqueira Cristal com Divisórias,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,125,270,48799.35,809
006.030.999,Copo Baby com Tampa - Sortido,FRASQUEIRAS E INFANTIL,INFANTIL,Parede de entrada,5,1633,olhos,70,270,40701.88,320
202.006.009,"Oval com Bandeja 4,4L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,177,270,36736.68,121
399.012.008,Porta Leite em Pó,FRASQUEIRAS E INFANTIL,INFANTIL,Parede de entrada,5,1633,olhos,90,270,25502.29,183
131.012.002,"Frasqueira Medicamentos 2,2L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,140,270,25262.76,96
202.006.001,Frasqueira Oval com Bandeja,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,177,270,20305.15,77
399.012.007,Porta Leite em Pó,FRASQUEIRAS E INFANTIL,INFANTIL,Parede de entrada,5,1633,olhos,90,270,19122.33,196
120.006.001,Frasqueira com Bandeja,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,163,270,17193.73,109
126.006.001,Frasqueira com Bandeja,FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,198,270,15974.04,87
131.012.009,"Frasqueira Medicamentos 2,2L",FRASQUEIRAS E INFANTIL,FRASQUEIRAS,Parede de entrada,5,1633,olhos,140,270,12409.32,46
227.036.998,Copo Infantil com Alça - Sortido,FRASQUEIRAS E INFANTIL,INFANTIL,Parede de entrada,5,1633,olhos,80,270,4068.0,20
550.036.999,Sortido 6 Estampas,FRASQUEIRAS E INFANTIL,REALCE,Parede de entrada,5,1633,olhos,89,270,2651.4,13
550.036.998,Sortido 6 Estampas,FRASQUEIRAS E INFANTIL,REALCE,Parede de entrada,5,1633,olhos,89,270,1501.56,10
549.024.999,Sortido 4 Estampas,FRASQUEIRAS E INFANTIL,REALCE,Parede de entrada,5,1633,olhos,85,270,1269.6,8
549.024.998,Sortido 4 Estampas,FRASQUEIRAS E INFANTIL,REALCE,Parede de entrada,5,1633,olhos,85,270,972.48,10
006.030.998,Copo Baby com Tampa - Sortido,FRASQUEIRAS E INFANTIL,INFANTIL,Parede de entrada,5,1633,olhos,70,270,69.0,1
