ambiente,linhas,skus,metros_total,m_prof_285,m_prof_372,m_prof_500,skus_altura_acima_247,metros_altura_acima_247,faturamento_12m_mil,fat_por_metro_mil
COZINHA,Linha Potes · Linha Cozinha · Linha Jarras · Linha Micro-ondas · Decor-Chef · Linha Geladeira · Teca Tabuas · Teca Cozinha · Decor-Confeitaria · POP · Teca Petisqueira,1295,189.2,100.6,78.9,9.7,50,13.1,36200,191.3
ORGANIZACAO,Linha Organizacao · Teca Organizacao · Linha Decor Util,814,152.8,41.6,78.7,32.5,54,15.9,23680,155.0
BANHO E LAVANDERIA,Linha Lixeiras · Linha Banheiro · Linha Limpeza · Linha ECO,257,42.5,19.7,18.8,4.0,132,25.1,18227,428.9
IMPULSO,Linha Frasqueiras · Linha Infantil · Linha Coloratto · Linha Realce · Nitron Mob,224,31.1,19.1,12.0,0.0,5,0.9,7843,252.2
